ticker,present_period,win_made,lost_made,giveup_made,win_percentage,profit,capital
['MS;'],20y,39,34,7,0.4875,98.21875343322701,1000
['SAN;'],1y,0,4,0,0,-204.4386383465358,1000
['SAN;'],5y,3,14,1,0.16666666666666666,-372.513454396384,1000
['SAN;'],10y,10,25,4,0.2564102564102564,-529.2840004001343,1000
['SAN;'],20y,36,36,7,0.45569620253164556,418.675596860477,1000
['AXP;'],1y,1,3,0,0.25,-88.08571951729917,1000
['AXP;'],5y,17,7,1,0.68,227.97274780273466,1000
['AXP;'],10y,30,15,2,0.6382978723404256,367.93274252755356,1000
['AXP;'],20y,50,34,4,0.5681818181818182,479.00458281380753,1000
['DE;'],1y,2,1,0,0.6666666666666666,59.271458217075974,1000
['DE;'],5y,11,7,0,0.6111111111111112,272.24864196777355,1000
['DE;'],10y,20,16,2,0.5263157894736842,290.57301712036144,1000
['DE;'],20y,46,28,4,0.5897435897435898,1116.632222693307,1000
['TGT;'],1y,1,1,0,0.5,-1.071415492466457,1000
['TGT;'],5y,12,9,1,0.5454545454545454,172.6572546277727,1000
['TGT;'],10y,22,14,1,0.5945945945945946,320.2000506264823,1000
['TGT;'],20y,39,25,4,0.5735294117647058,601.786008671352,1000
['PLD;'],1y,3,1,0,0.75,62.89572579520086,1000
['PLD;'],5y,13,7,2,0.5909090909090909,151.1802808761597,1000
['PLD;'],10y,21,15,3,0.5384615384615384,174.69573247092126,1000
['PLD;'],20y,42,26,5,0.5753424657534246,583.3961982182093,1000
['AMT;'],1y,3,2,0,0.6,3.497137887137228,1000
['AMT;'],5y,10,11,2,0.43478260869565216,-27.340118190220522,1000
['AMT;'],10y,20,19,4,0.46511627906976744,38.18699133736699,1000
['AMT;'],20y,43,32,6,0.5308641975308642,1333.0151493975097,1000
['GSK;'],1y,2,3,0,0.4,-38.43713705880318,1000
['GSK;'],5y,12,7,2,0.5714285714285714,114.68576562063997,1000
['GSK;'],10y,21,16,4,0.5121951219512195,112.6858213697157,1000
['GSK;'],20y,38,32,7,0.4935064935064935,353.04046096801727,1000
['LMT;'],1y,2,1,0,0.6666666666666666,79.75715855189742,1000
['LMT;'],5y,9,6,2,0.5294117647058824,126.55933946882016,1000
['LMT;'],10y,25,11,3,0.6410256410256411,407.2268103463309,1000
['LMT;'],20y,39,28,6,0.5342465753424658,330.09166248866484,1000
['GS;'],1y,1,2,0,0.3333333333333333,-23.717119489397305,1000
['GS;'],5y,7,9,3,0.3684210526315789,22.836686270577502,1000
['GS;'],10y,19,20,3,0.4523809523809524,87.24244689941409,1000
['GS;'],20y,37,33,5,0.49333333333333335,152.75343731471463,1000
['AMAT;'],1y,1,0,0,1.0,58.71427263532371,1000
['AMAT;'],5y,13,8,0,0.6190476190476191,379.2171974182131,1000
['AMAT;'],10y,27,16,1,0.6136363636363636,589.1732428755081,1000
['AMAT;'],20y,44,27,3,0.5945945945945946,1108.4754529680522,1000
['C;'],1y,2,0,0,1.0,101.75433731079116,1000
['C;'],5y,8,6,3,0.47058823529411764,142.50698585510287,1000
['C;'],10y,21,18,4,0.4883720930232558,179.40861298697345,1000
['C;'],20y,35,27,9,0.49295774647887325,488.9750954764231,1000
['MO;'],1y,2,1,0,0.6666666666666666,45.32855224609375,1000
['MO;'],5y,6,6,1,0.46153846153846156,25.505752100263337,1000
['MO;'],10y,21,17,1,0.5384615384615384,114.46990539005802,1000
['MO;'],20y,46,35,5,0.5348837209302325,142.26748515537722,1000
['SCHW;'],1y,2,2,0,0.5,11.51283918108274,1000
['SCHW;'],5y,7,13,0,0.35,-273.345840454101,1000
['SCHW;'],10y,19,20,1,0.475,-25.762471703120298,1000
['SCHW;'],20y,36,27,5,0.5294117647058824,648.1775785582408,1000
['PYPL;'],1y,1,2,0,0.3333333333333333,-84.40420096261158,1000
['PYPL;'],5y,14,9,0,0.6086956521739131,78.69119153703957,1000
['PYPL;'],10y,17,11,3,0.5483870967741935,97.39694249289357,1000
['PYPL;'],20y,17,11,3,0.5483870967741935,97.39694249289357,1000
